배치,순번,도감번호,파일명,꽃이름,학명,계절,대표색,형태 참고,특징 (일러스트 시 강조점),작업상태,1차 시안,피드백,최종
2,134,175,flower_175_칸나.svg,칸나,Canna generalis,여름,붉은색,홍초과 · 7~9월 개화 · 화단·공원,붉은색 계열 여름꽃,미착수,,,
2,135,177,flower_177_천일홍.svg,천일홍,Gomphrena globosa,여름,분홍,비름과 · 7~10월 개화 · 화단,분홍 계열 여름꽃,미착수,,,
3,136,138,flower_138_이질풀.svg,이질풀,Geranium thunbergii,가을,분홍,쥐손이풀과 · 8~9월 개화 · 산기슭·길가,분홍 계열 가을꽃,미착수,,,
3,137,181,flower_181_감국.svg,감국,Chrysanthemum indicum,가을,노랑,국화과 · 10~11월 개화 · 산기슭·해안,노랑 계열 가을꽃 / '산국'와 구분되게,미착수,,,
3,138,187,flower_187_참취.svg,참취,Aster scaber,가을,흰색,국화과 · 8~10월 개화 · 산지 숲,흰색 계열 가을꽃 / '미국쑥부쟁이'와 구분되게,미착수,,,
3,139,189,flower_189_용담.svg,용담,Gentiana scabra,가을,파랑,용담과 · 9~10월 개화 · 산지 풀밭,파랑 계열 가을꽃,미착수,,,
3,140,190,flower_190_투구꽃.svg,투구꽃,Aconitum jaluense,가을,보라,미나리아재비과 · 9~10월 개화 · 산지 숲,독성 — 도감 설명에 주의 문구,미착수,,,
3,141,192,flower_192_뚝갈.svg,뚝갈,Patrinia villosa,가을,흰색,마타리과 · 8~9월 개화 · 산기슭,흰색 계열 가을꽃 / '마타리'와 구분되게,미착수,,,
3,142,193,flower_193_며느리밥풀꽃.svg,며느리밥풀꽃,Melampyrum roseum,가을,분홍,현삼과 · 8~9월 개화 · 산지 숲,분홍 계열 가을꽃,미착수,,,
3,143,195,flower_195_방가지똥.svg,방가지똥,Sonchus oleraceus,가을,노랑,국화과 · 5~10월 개화 · 길가·화단 틈,도감 외 혼동종: 사데풀 / '씀바귀'와 구분되게,미착수,,,
3,144,196,flower_196_미국가막사리.svg,미국가막사리,Bidens frondosa,가을,노랑,국화과 · 8~10월 개화 · 물가·공터,도감 외 혼동종: 도깨비바늘,미착수,,,
3,145,198,flower_198_산부추.svg,산부추,Allium thunbergii,가을,보라,백합과 · 9~10월 개화 · 산지·바위,보라 계열 가을꽃 / '부추꽃'와 구분되게,미착수,,,
3,146,59,flower_059_노루귀.svg,노루귀,Hepatica asiatica,겨울,분홍,미나리아재비과 · 3~4월 개화 · 산지 숲,이른 봄 산행,미착수,,,
3,147,60,flower_060_복수초.svg,복수초,Adonis amurensis,겨울,노랑,미나리아재비과 · 2~4월 개화 · 산지 숲,눈 속 개화. 겨울 시즌 콘텐츠,미착수,,,
3,148,61,flower_061_변산바람꽃.svg,변산바람꽃,Eranthis byunsanensis,겨울,흰색,미나리아재비과 · 2~3월 개화 · 남부 산지,한국 고유종. 최고 희귀 등급 후보,미착수,,,
3,149,9,flower_009_자두꽃.svg,자두꽃,Prunus salicina,봄,흰색,장미과 · 4월 개화 · 과수원·주택가,"흰색 계열 봄꽃 / '매화,벚꽃'와 구분되게",미착수,,,
3,150,14,flower_014_생강나무.svg,생강나무,Lindera obtusiloba,봄,노랑,녹나무과 · 3월 개화 · 산지 등산로,산행 사용자용 / '산수유'와 구분되게,미착수,,,
3,151,23,flower_023_병꽃나무.svg,병꽃나무,Weigela subsessilis,봄,붉은색,인동과 · 5월 개화 · 산지·공원,한국 고유종,미착수,,,
3,152,30,flower_030_마가목.svg,마가목,Sorbus commixta,봄,흰색,장미과 · 5~6월 개화 · 공원·산지,흰색 계열 봄꽃,미착수,,,
3,153,34,flower_034_남산제비꽃.svg,남산제비꽃,Viola albida,봄,흰색,제비꽃과 · 4~5월 개화 · 산지,흰색 계열 봄꽃 / '제비꽃'와 구분되게,미착수,,,
3,154,37,flower_037_봄맞이꽃.svg,봄맞이꽃,Androsace umbellata,봄,흰색,앵초과 · 4~5월 개화 · 길가·논둑,흰색 계열 봄꽃 / '별꽃'와 구분되게,미착수,,,
3,155,39,flower_039_쇠별꽃.svg,쇠별꽃,Stellaria aquatica,봄,흰색,석죽과 · 4~6월 개화 · 습한 길가,흰색 계열 봄꽃 / '별꽃'와 구분되게,미착수,,,
3,156,40,flower_040_개별꽃.svg,개별꽃,Pseudostellaria heterophylla,봄,흰색,석죽과 · 4~5월 개화 · 산지 숲,흰색 계열 봄꽃 / '별꽃'와 구분되게,미착수,,,
3,157,42,flower_042_자주광대나물.svg,자주광대나물,Lamium purpureum,봄,보라,꿀풀과 · 3~5월 개화 · 길가·공터,보라 계열 봄꽃 / '광대나물'와 구분되게,미착수,,,
3,158,47,flower_047_뽀리뱅이.svg,뽀리뱅이,Youngia japonica,봄,노랑,국화과 · 5~6월 개화 · 길가·화단 틈,노랑 계열 봄꽃 / '고들빼기'와 구분되게,미착수,,,
3,159,53,flower_053_살갈퀴.svg,살갈퀴,Vicia angustifolia,봄,보라,콩과 · 4~5월 개화 · 길가·논둑,도감 외 혼동종: 얼치기완두,미착수,,,
3,160,54,flower_054_자운영.svg,자운영,Astragalus sinicus,봄,분홍,콩과 · 4~5월 개화 · 논·밭 (남부),남부 지역 한정 / '붉은토끼풀'와 구분되게,미착수,,,
3,161,55,flower_055_벌노랑이.svg,벌노랑이,Lotus corniculatus,봄,노랑,콩과 · 5~8월 개화 · 길가·잔디밭,노랑 계열 봄꽃,미착수,,,
3,162,57,flower_057_현호색.svg,현호색,Corydalis remota,봄,보라,현호색과 · 4~5월 개화 · 산지 숲,보라 계열 봄꽃,미착수,,,
3,163,58,flower_058_할미꽃.svg,할미꽃,Pulsatilla koreana,봄,보라,미나리아재비과 · 4~5월 개화 · 산소·풀밭,개체 감소. 발견 시 희귀 연출 후보,미착수,,,
3,164,62,flower_062_앵초.svg,앵초,Primula sieboldii,봄,분홍,앵초과 · 4~5월 개화 · 산지 습지,분홍 계열 봄꽃,미착수,,,
3,165,63,flower_063_은방울꽃.svg,은방울꽃,Convallaria keiskei,봄,흰색,백합과 · 5~6월 개화 · 산지 숲,흰색 계열 봄꽃,미착수,,,
3,166,67,flower_067_등심붓꽃.svg,등심붓꽃,Sisyrinchium rosulatum,봄,보라,붓꽃과 · 5~6월 개화 · 잔디밭 (남부),보라 계열 봄꽃,미착수,,,
3,167,72,flower_072_크로커스.svg,크로커스,Crocus vernus,봄,보라,붓꽃과 · 3~4월 개화 · 화단,보라 계열 봄꽃,미착수,,,
3,168,76,flower_076_프리지어.svg,프리지어,Freesia refracta,봄,노랑,붓꽃과 · 3~4월 개화 · 화단·화분,노랑 계열 봄꽃,미착수,,,
3,169,77,flower_077_라넌큘러스.svg,라넌큘러스,Ranunculus asiaticus,봄,기타,미나리아재비과 · 4~5월 개화 · 화단·화분,기타 계열 봄꽃,미착수,,,
3,170,78,flower_078_아네모네.svg,아네모네,Anemone coronaria,봄,기타,미나리아재비과 · 4~5월 개화 · 화단,기타 계열 봄꽃,미착수,,,
3,171,80,flower_080_물망초.svg,물망초,Myosotis scorpioides,봄,파랑,지치과 · 5~6월 개화 · 화단·물가,파랑 계열 봄꽃 / '꽃마리'와 구분되게,미착수,,,
3,172,91,flower_091_회화나무.svg,회화나무,Styphnolobium japonicum,여름,흰색,콩과 · 7~8월 개화 · 가로수·고궁,흰색 계열 여름꽃 / '아까시나무'와 구분되게,미착수,,,
3,173,95,flower_095_치자나무.svg,치자나무,Gardenia jasminoides,여름,흰색,꼭두서니과 · 6~7월 개화 · 정원 (남부),흰색 계열 여름꽃,미착수,,,
3,174,96,flower_096_모감주나무.svg,모감주나무,Koelreuteria paniculata,여름,노랑,무환자나무과 · 6~7월 개화 · 공원·해안,노랑 계열 여름꽃,미착수,,,
3,175,97,flower_097_개오동.svg,개오동,Catalpa ovata,여름,흰색,능소화과 · 6~7월 개화 · 공원·학교,흰색 계열 여름꽃,미착수,,,
3,176,99,flower_099_사위질빵.svg,사위질빵,Clematis apiifolia,여름,흰색,미나리아재비과 · 7~8월 개화 · 산기슭·울타리,흰색 계열 여름꽃 / '으아리'와 구분되게,미착수,,,
3,177,100,flower_100_으아리.svg,으아리,Clematis terniflora,여름,흰색,미나리아재비과 · 7~8월 개화 · 산기슭,흰색 계열 여름꽃 / '사위질빵'와 구분되게,미착수,,,
3,178,103,flower_103_실망초.svg,실망초,Conyza bonariensis,여름,흰색,국화과 · 7~9월 개화 · 공터,흰색 계열 여름꽃 / '망초'와 구분되게,미착수,,,
3,179,114,flower_114_애기나팔꽃.svg,애기나팔꽃,Ipomoea lacunosa,여름,흰색,메꽃과 · 7~9월 개화 · 공터·하천,흰색 계열 여름꽃 / '나팔꽃'와 구분되게,미착수,,,
3,180,119,flower_119_수염패랭이꽃.svg,수염패랭이꽃,Dianthus barbatus,여름,붉은색,석죽과 · 6~7월 개화 · 화단,붉은색 계열 여름꽃 / '패랭이꽃'와 구분되게,미착수,,,
3,181,120,flower_120_술패랭이꽃.svg,술패랭이꽃,Dianthus longicalyx,여름,분홍,석죽과 · 7~8월 개화 · 산지·풀밭,분홍 계열 여름꽃 / '패랭이꽃'와 구분되게,미착수,,,
3,182,121,flower_121_끈끈이대나물.svg,끈끈이대나물,Silene armeria,여름,분홍,석죽과 · 6~8월 개화 · 길가·공터,분홍 계열 여름꽃,미착수,,,
3,183,124,flower_124_익모초.svg,익모초,Leonurus japonicus,여름,분홍,꿀풀과 · 7~8월 개화 · 길가·공터,분홍 계열 여름꽃,미착수,,,
3,184,125,flower_125_층층이꽃.svg,층층이꽃,Clinopodium chinense,여름,분홍,꿀풀과 · 7~8월 개화 · 산기슭·풀밭,분홍 계열 여름꽃 / '배초향'와 구분되게,미착수,,,
3,185,126,flower_126_박하.svg,박하,Mentha canadensis,여름,보라,꿀풀과 · 7~9월 개화 · 물가·밭,보라 계열 여름꽃,미착수,,,
3,186,128,flower_128_부처꽃.svg,부처꽃,Lythrum anceps,여름,보라,부처꽃과 · 7~8월 개화 · 습지·물가,보라 계열 여름꽃,미착수,,,
3,187,131,flower_131_노루오줌.svg,노루오줌,Astilbe rubra,여름,분홍,범의귀과 · 7~8월 개화 · 산지 계곡,분홍 계열 여름꽃,미착수,,,
3,188,133,flower_133_기린초.svg,기린초,Phedimus kamtschaticus,여름,노랑,돌나물과 · 6~7월 개화 · 바위·화단,노랑 계열 여름꽃 / '돌나물'와 구분되게,미착수,,,
3,189,135,flower_135_까치수염.svg,까치수염,Lysimachia barystachys,여름,흰색,앵초과 · 6~8월 개화 · 풀밭,흰색 계열 여름꽃 / '큰까치수염'와 구분되게,미착수,,,
3,190,136,flower_136_좁쌀풀.svg,좁쌀풀,Lysimachia vulgaris,여름,노랑,앵초과 · 6~8월 개화 · 습지·풀밭,노랑 계열 여름꽃,미착수,,,
3,191,137,flower_137_짚신나물.svg,짚신나물,Agrimonia pilosa,여름,노랑,장미과 · 6~8월 개화 · 산기슭·길가,노랑 계열 여름꽃,미착수,,,
3,192,142,flower_142_이삭여뀌.svg,이삭여뀌,Persicaria filiformis,여름,붉은색,마디풀과 · 7~8월 개화 · 산지 숲,붉은색 계열 여름꽃 / '여뀌'와 구분되게,미착수,,,
3,193,145,flower_145_섬초롱꽃.svg,섬초롱꽃,Campanula takesimana,여름,분홍,초롱꽃과 · 6~8월 개화 · 울릉도·화단,한국 고유종 / '초롱꽃'와 구분되게,미착수,,,
3,194,146,flower_146_잔대.svg,잔대,Adenophora triphylla,여름,보라,초롱꽃과 · 7~9월 개화 · 산지·풀밭,보라 계열 여름꽃,미착수,,,
3,195,169,flower_169_버베나.svg,버베나,Verbena hybrida,여름,보라,마편초과 · 5~9월 개화 · 화단·화분,보라 계열 여름꽃 / '버들마편초'와 구분되게,미착수,,,
3,196,171,flower_171_안개꽃.svg,안개꽃,Gypsophila elegans,여름,흰색,석죽과 · 6~7월 개화 · 화단·꽃다발,흰색 계열 여름꽃,미착수,,,
3,197,172,flower_172_가자니아.svg,가자니아,Gazania rigens,여름,노랑,국화과 · 6~9월 개화 · 화단,노랑 계열 여름꽃,미착수,,,
3,198,174,flower_174_글라디올러스.svg,글라디올러스,Gladiolus hybridus,여름,기타,붓꽃과 · 7~8월 개화 · 화단·밭,기타 계열 여름꽃,미착수,,,
3,199,176,flower_176_한련화.svg,한련화,Tropaeolum majus,여름,주황,한련과 · 6~9월 개화 · 화단·화분,주황 계열 여름꽃,미착수,,,
3,200,178,flower_178_아게라텀.svg,아게라텀,Ageratum houstonianum,여름,보라,국화과 · 6~9월 개화 · 화단,보라 계열 여름꽃,미착수,,,
